Scenario,Arrow Source,Intersection Type,Figure Type,Int. ID 1,EB Road Name ,WB Road Name,SB Road Name,NB Road Name ,@image_light,NB1,@image_NB1.0,@image_NB1.1,@image_NB1.2,NB2,@image_NB2.0,@image_NB2.1,@image_NB2.2,NB3,@image_NB3.0,@image_NB3.1,@image_NB3.2,NB4,@image_NB4.0,@image_NB4.1,@image_NB4.2,NB5,@image_NB5.0,@image_NB5.1,@image_NB5.2,NB6,@image_NB6.0,@image_NB6.1,@image_NB6.2,@image_NB_sign,EB1,@image_EB1.0,@image_EB1.1,@image_EB1.2,EB2,@image_EB2.0,@image_EB2.1,@image_EB2.2,EB3,@image_EB3.0,@image_EB3.1,@image_EB3.2,EB4,@image_EB4.0,@image_EB4.1,@image_EB4.2,EB5,@image_EB5.0,@image_EB5.1,@image_EB5.2,EB6,@image_EB6.0,@image_EB6.1,@image_EB6.2,@image_EB_sign,WB1,@image_WB1.0,@image_WB1.1,@image_WB1.2,WB2,@image_WB2.0,@image_WB2.1,@image_WB2.2,WB3,@image_WB3.0,@image_WB3.1,@image_WB3.2,WB4,@image_WB4.0,@image_WB4.1,@image_WB4.2,WB5,@image_WB5.0,@image_WB5.1,@image_WB5.2,WB6,@image_WB6.0,@image_WB6.1,@image_WB6.2,@image_WB_sign,SB1,@image_SB1.0,@image_SB1.1,@image_SB1.2,SB2,@image_SB2.0,@image_SB2.1,@image_SB2.2,SB3,@image_SB3.0,@image_SB3.1,@image_SB3.2,SB4,@image_SB4.0,@image_SB4.1,@image_SB4.2,SB5,@image_SB5.0,@image_SB5.1,@image_SB5.2,SB6,@image_SB6.0,@image_SB6.1,@image_SB6.2,@image_SB_sign
Exist Geo,Exist Geo,Normal,Lanes,1,John Hagar Rd,John Hagar Rd,S New Hope Rd,S New Hope Rd,,,\arrows_left_black.eps,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,\stop_black.eps,,\arrows_left_black.eps,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,\stop_black.eps,,\arrows_left_black.eps,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,\stop_black.eps,,\arrows_left_black.eps,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,\stop_black.eps
Exist Geo,Exist Geo,Normal,Lanes,2,Stewarts Ferry Pk,Stewarts Ferry Pk,S New Hope Rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\arrows_left_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,,,,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,,,,\arrows_left_black.eps,\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,,,,\stop_black.eps
Exist Geo,Exist Geo,Normal,Lanes,3,Stewarts Ferry Pk,Stewarts Ferry Pk,,Cooks Landing Ct,,,\arrows_left_black.eps,\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,,,,\stop_black.eps,,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,,,,\arrows_left_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exist Geo,Exist Geo,Normal,Lanes,4,Stewarts Ferry Pk,Stewarts Ferry Pk,, Site Driveway A,,,\arrows_left_black.eps,\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,,,,\stop_blue.eps,,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,,,,\arrows_left_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exist Vol,Exist Geo,Normal,Volume,1,John Hagar Rd,John Hagar Rd,S New Hope Rd,S New Hope Rd,,(3) 0,\arrows_left_black.eps,,,(121) 250,\arrows_through_black.eps,,,(15) 38,\arrows_right_black.eps,,,,,,,,,,,,,,,\stop_black.eps,(17) 45,\arrows_left_black.eps,,,(5) 11,\arrows_through_black.eps,,,(2) 0,\arrows_right_black.eps,,,,,,,,,,,,,,,\stop_black.eps,12 (18),\arrows_left_black.eps,,,4 (6),\arrows_through_black.eps,,,341 (88),\arrows_right_black.eps,,,,,,,,,,,,,,,\stop_black.eps,243 (140),\arrows_left_black.eps,,,51 (209),\arrows_through_black.eps,,,5 (29),\arrows_right_black.eps,,,,,,,,,,,,,,,\stop_black.eps
Exist Vol,Exist Geo,Normal,Volume,2,Stewarts Ferry Pk,Stewarts Ferry Pk,S New Hope Rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,(39) 71,\arrows_left_black.eps,,,(7) 3,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,4 (6),\arrows_through_black.eps,,,25 (26),\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,,8 (37),\arrows_left_black.eps,,,21 (66),\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,\stop_black.eps
Exist Vol,Exist Geo,Normal,Volume,3,Stewarts Ferry Pk,Stewarts Ferry Pk,,Cooks Landing Ct,,(0) 0,\arrows_left_black.eps,,,(10) 12,\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,\stop_black.eps,(34) 58,\arrows_through_black.eps,,,(1) 0,\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,,5 (17),\arrows_left_black.eps,,,17 (52),\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exist Vol,Exist Geo,Normal,Volume,4,Stewarts Ferry Pk,Stewarts Ferry Pk,, Site Driveway A,,(0) 0,\arrows_left_black.eps,,,(0) 0,\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,\stop_blue.eps,(46) 74,\arrows_through_black.eps,,,(0) 0,\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,,0 (0),\arrows_left_black.eps,,,25 (72),\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No-Build Vol,Exist Geo,Normal,Volume,1,John Hagar Rd,John Hagar Rd,S New Hope Rd,S New Hope Rd,,(3) 0,\arrows_left_black.eps,,,(123) 255,\arrows_through_black.eps,,,(15) 39,\arrows_right_black.eps,,,,,,,,,,,,,,,\stop_black.eps,(17) 46,\arrows_left_black.eps,,,(5) 11,\arrows_through_black.eps,,,(2) 0,\arrows_right_black.eps,,,,,,,,,,,,,,,\stop_black.eps,12 (18),\arrows_left_black.eps,,,4 (6),\arrows_through_black.eps,,,348 (90),\arrows_right_black.eps,,,,,,,,,,,,,,,\stop_black.eps,248 (143),\arrows_left_black.eps,,,52 (213),\arrows_through_black.eps,,,5 (30),\arrows_right_black.eps,,,,,,,,,,,,,,,\stop_black.eps
No-Build Vol,Exist Geo,Normal,Volume,2,Stewarts Ferry Pk,Stewarts Ferry Pk,S New Hope Rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,(40) 72,\arrows_left_black.eps,,,(7) 3,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,4 (6),\arrows_through_black.eps,,,26 (27),\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,,8 (38),\arrows_left_black.eps,,,21 (67),\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,\stop_black.eps
No-Build Vol,Exist Geo,Normal,Volume,3,Stewarts Ferry Pk,Stewarts Ferry Pk,,Cooks Landing Ct,,(0) 0,\arrows_left_black.eps,,,(10) 12,\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,\stop_black.eps,(35) 59,\arrows_through_black.eps,,,(1) 0,\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,,5 (17),\arrows_left_black.eps,,,17 (53),\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No-Build Vol,Exist Geo,Normal,Volume,4,Stewarts Ferry Pk,Stewarts Ferry Pk,, Site Driveway A,,(0) 0,\arrows_left_black.eps,,,(0) 0,\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,\stop_blue.eps,(47) 75,\arrows_through_black.eps,,,(0) 0,\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,,0 (0),\arrows_left_black.eps,,,26 (73),\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dist,Build Geo,Normal,Distribution,1,John Hagar Rd,John Hagar Rd,S New Hope Rd,S New Hope Rd,,0% (0%),\arrows_left_black.eps,,,0% (95%),\arrows_through_black.eps,,,0% (5%),\arrows_right_black.eps,,,,,,,,,,,,,,,\stop_black.eps,0% (0%),\arrows_left_black.eps,,,0% (0%),\arrows_through_black.eps,,,0% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,\stop_black.eps,5% (0%),\arrows_left_black.eps,,,0% (0%),\arrows_through_black.eps,,,0% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,\stop_black.eps,0% (0%),\arrows_left_black.eps,,,95% (0%),\arrows_through_black.eps,,,0% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,\stop_black.eps
Dist,Build Geo,Normal,Distribution,2,Stewarts Ferry Pk,Stewarts Ferry Pk,S New Hope Rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,0% (100%),\arrows_left_black.eps,,,0% (0%),\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,0% (0%),\arrows_through_black.eps,,,0% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,,0% (0%),\arrows_left_black.eps,,,100% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,\stop_black.eps
Dist,Build Geo,Normal,Distribution,3,Stewarts Ferry Pk,Stewarts Ferry Pk,,Cooks Landing Ct,,0% (0%),\arrows_left_black.eps,,,0% (15%),\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,\stop_black.eps,0% (0%),\arrows_through_black.eps,,,0% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,,15% (0%),\arrows_left_black.eps,,,0% (0%),\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dist,Build Geo,Normal,Distribution,4,Stewarts Ferry Pk,Stewarts Ferry Pk,, Site Driveway A,,0% (0%),\arrows_left_black.eps,,,0% (85%),\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,\stop_blue.eps,0% (15%),\arrows_through_black.eps,,,0% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,,85% (0%),\arrows_left_black.eps,,,15% (0%),\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trips,Build Geo,Normal,Trips,1,John Hagar Rd,John Hagar Rd,S New Hope Rd,S New Hope Rd,,(35) 52,\arrows_through_black.eps,,,(2) 3,\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,\stop_black.eps,,,,,,,,,,,,,,,,,,,,,,,,,\stop_black.eps,,,,,,,,,,,,,,,,,,,,,,,,,\stop_black.eps,18 (59),\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,,,\stop_black.eps
Trips,Build Geo,Normal,Trips,2,Stewarts Ferry Pk,Stewarts Ferry Pk,S New Hope Rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,(37) 55,\arrows_left_black.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19 (62),\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,,,,,\stop_black.eps
Trips,Build Geo,Normal,Trips,3,Stewarts Ferry Pk,Stewarts Ferry Pk,,Cooks Landing Ct,,(6) 8,\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,,,,,\stop_black.eps,,,,,,,,,,,,,,,,,,,,,,,,,,3 (9),\arrows_left_black.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trips,Build Geo,Normal,Trips,4,Stewarts Ferry Pk,Stewarts Ferry Pk,, Site Driveway A,,(31) 47,\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,,,,,\stop_blue.eps,(6) 8,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,,,,16 (53),\arrows_left_black.eps,,,3 (9),\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
