Scenario,Arrow Source,Intersection Type,Figure Type,Int. ID 1,EB Road Name ,WB Road Name,SB Road Name,NB Road Name ,@image_light,NB1,@image_NB1.0,@image_NB1.1,@image_NB1.2,NB2,@image_NB2.0,@image_NB2.1,@image_NB2.2,NB3,@image_NB3.0,@image_NB3.1,@image_NB3.2,NB4,@image_NB4.0,@image_NB4.1,@image_NB4.2,NB5,@image_NB5.0,@image_NB5.1,@image_NB5.2,NB6,@image_NB6.0,@image_NB6.1,@image_NB6.2,@image_NB_sign,EB1,@image_EB1.0,@image_EB1.1,@image_EB1.2,EB2,@image_EB2.0,@image_EB2.1,@image_EB2.2,EB3,@image_EB3.0,@image_EB3.1,@image_EB3.2,EB4,@image_EB4.0,@image_EB4.1,@image_EB4.2,EB5,@image_EB5.0,@image_EB5.1,@image_EB5.2,EB6,@image_EB6.0,@image_EB6.1,@image_EB6.2,@image_EB_sign,WB1,@image_WB1.0,@image_WB1.1,@image_WB1.2,WB2,@image_WB2.0,@image_WB2.1,@image_WB2.2,WB3,@image_WB3.0,@image_WB3.1,@image_WB3.2,WB4,@image_WB4.0,@image_WB4.1,@image_WB4.2,WB5,@image_WB5.0,@image_WB5.1,@image_WB5.2,WB6,@image_WB6.0,@image_WB6.1,@image_WB6.2,@image_WB_sign,SB1,@image_SB1.0,@image_SB1.1,@image_SB1.2,SB2,@image_SB2.0,@image_SB2.1,@image_SB2.2,SB3,@image_SB3.0,@image_SB3.1,@image_SB3.2,SB4,@image_SB4.0,@image_SB4.1,@image_SB4.2,SB5,@image_SB5.0,@image_SB5.1,@image_SB5.2,SB6,@image_SB6.0,@image_SB6.1,@image_SB6.2,@image_SB_sign
Existing Geo,Existing Geo,Normal,Lanes,1,Gallatin Rd,Gallatin Rd,Apt Driveway,Rockland Rd,\signal_black.eps,,\arrows_left_black.eps,,,,\arrows_left_black.eps,\arrows_through_black.eps,,,\arrows_right_black.eps,,,,,,,,,,,,,,,,,\arrows_left_black.eps,,,,\arrows_through_black.eps,,,,\arrows_through_black.eps,,,,\arrows_right_black.eps,,,,,,,,,,,,,\arrows_left_black.eps,,,,\arrows_through_black.eps,,,,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,\arrows_left_black.eps,,,,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,
Existing Geo,Existing Geo,Normal,Lanes,2,Gallatin Rd,Gallatin Rd,Free Hill Rd,Free Hill Rd,\signal_black.eps,,\arrows_left_black.eps,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,,,\arrows_left_black.eps,,,,\arrows_through_black.eps,,,,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,\arrows_left_black.eps,,,,\arrows_through_black.eps,,,,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,\arrows_left_black.eps,,,,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,
Existing Geo,Existing Geo,Normal,Lanes,3,Site Driveway A,,Rockland Rd,Rockland Rd,,,\arrows_left_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,,,,\arrows_left_black.eps,,,,\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,\stop_blue.eps,,,,,,,,,,,,,,,,,,,,,,,,,,,\arrows_right_black.eps,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,,,
Existing Vol,Existing Geo,Normal,Volume,1,Gallatin Rd,Gallatin Rd,Apt Driveway,Rockland Rd,\signal_black.eps,(410) 810,\arrows_left_black.eps,,,(15) 4,\arrows_through_black.eps,,,(27) 9,\arrows_right_black.eps,,,,,,,,,,,,,,,,(73) 28,\arrows_left_black.eps,,,(1544) 836,\arrows_through_black.eps,,,(665) 196,\arrows_right_black.eps,,,,,,,,,,,,,,,,39 (64),\arrows_left_black.eps,,,1553 (1347),\arrows_through_black.eps,,,19 (25),\arrows_right_black.eps,,,,,,,,,,,,,,,,32 (27),\arrows_left_black.eps,,,18 (9),\arrows_through_black.eps,,,81 (64),\arrows_right_black.eps,,,,,,,,,,,,,,,
Existing Vol,Existing Geo,Normal,Volume,2,Gallatin Rd,Gallatin Rd,Free Hill Rd,Free Hill Rd,\signal_black.eps,(14) 26,\arrows_left_black.eps,,,(23) 20,\arrows_through_black.eps,,,(44) 24,\arrows_right_black.eps,,,,,,,,,,,,,,,,(128) 86,\arrows_left_black.eps,,,(1432) 768,\arrows_through_black.eps,,,(10) 5,\arrows_right_black.eps,,,,,,,,,,,,,,,,26 (22),\arrows_left_black.eps,,,1450 (1171),\arrows_through_black.eps,,,26 (27),\arrows_right_black.eps,,,,,,,,,,,,,,,,22 (75),\arrows_left_black.eps,,,8 (12),\arrows_through_black.eps,,,130 (246),\arrows_right_black.eps,,,,,,,,,,,,,,,
Existing Vol,Existing Geo,Normal,Volume,3,Site Driveway A,,Rockland Rd,Rockland Rd,,(0) 0,\arrows_left_black.eps,,,(452) 823,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,(0) 0,\arrows_left_black.eps,,,(0) 0,\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,\stop_blue.eps,,,,,,,,,,,,,,,,,,,,,,,,,,253 (738),\arrows_through_black.eps,,,0 (0),\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,
No-Build Vol,Existing Geo,Normal,Volume,1,Gallatin Rd,Gallatin Rd,Apt Driveway,Rockland Rd,\signal_black.eps,(426) 842,\arrows_left_black.eps,,,(16) 4,\arrows_through_black.eps,,,(28) 9,\arrows_right_black.eps,,,,,,,,,,,,,,,,(76) 29,\arrows_left_black.eps,,,(1606) 869,\arrows_through_black.eps,,,(692) 204,\arrows_right_black.eps,,,,,,,,,,,,,,,,41 (67),\arrows_left_black.eps,,,1615 (1401),\arrows_through_black.eps,,,20 (26),\arrows_right_black.eps,,,,,,,,,,,,,,,,33 (28),\arrows_left_black.eps,,,19 (9),\arrows_through_black.eps,,,84 (67),\arrows_right_black.eps,,,,,,,,,,,,,,,
No-Build Vol,Existing Geo,Normal,Volume,2,Gallatin Rd,Gallatin Rd,Free Hill Rd,Free Hill Rd,\signal_black.eps,(15) 27,\arrows_left_black.eps,,,(24) 21,\arrows_through_black.eps,,,(46) 25,\arrows_right_black.eps,,,,,,,,,,,,,,,,(133) 89,\arrows_left_black.eps,,,(1489) 799,\arrows_through_black.eps,,,(10) 5,\arrows_right_black.eps,,,,,,,,,,,,,,,,27 (23),\arrows_left_black.eps,,,1508 (1218),\arrows_through_black.eps,,,27 (28),\arrows_right_black.eps,,,,,,,,,,,,,,,,23 (78),\arrows_left_black.eps,,,8 (12),\arrows_through_black.eps,,,135 (256),\arrows_right_black.eps,,,,,,,,,,,,,,,
No-Build Vol,Existing Geo,Normal,Volume,3,Site Driveway A,,Rockland Rd,Rockland Rd,,(0) 0,\arrows_left_black.eps,,,(470) 856,\arrows_through_black.eps,,,,,,,,,,,,,,,,,,,,(0) 0,\arrows_left_black.eps,,,(0) 0,\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,\stop_blue.eps,,,,,,,,,,,,,,,,,,,,,,,,,,263 (768),\arrows_through_black.eps,,,0 (0),\arrows_right_black.eps,,,,,,,,,,,,,,,,,,,
Dist,Build Geo,Normal,Distribution,1,Gallatin Rd,Gallatin Rd,Apt Driveway,Rockland Rd,\signal_black.eps,0% (55%),\arrows_left_black.eps,,,0% (0%),\arrows_through_black.eps,,,0% (20%),\arrows_right_black.eps,,,,,,,,,,,,,,,,0% (0%),\arrows_left_black.eps,,,0% (0%),\arrows_through_black.eps,,,55% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,,20% (0%),\arrows_left_black.eps,,,0% (0%),\arrows_through_black.eps,,,0% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,,0% (0%),\arrows_left_black.eps,,,0% (0%),\arrows_through_black.eps,,,0% (0%),\arrows_right_black.eps,,,,,,,,,,,,,,,
